StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-10030,Vivie Staries,2003-01-28,BS Chemistry,Automotive Aftermarket,90
2017-10031,Melanie MacNamara,2002-11-10,BA Sociology,Television Services,90
2017-10032,Lara Domingues,1992-12-16,BS Applied Physics,n/a,123
2017-10033,Jeannie Berni,1995-01-04,BS Applied Physics,Motor Vehicles,19
2017-10034,Bonnibelle Deighton,1993-09-11,BS Chemistry,Industrial Machinery/Components,8
2017-10035,Purcell Simao,2009-05-04,BS Applied Physics,Diversified Commercial Services,9
2017-10036,Wilow Shobrook,1994-02-13,BS Statistics,Military/Government/Technical,100
2017-10037,Barbee Crang,1999-08-17,BS Computer Engineering,Publishing,86
2017-10038,Sherry Le Brun,1992-10-19,BA Communication Arts,Professional Services,64
2017-10039,Lula Chesterman,2007-12-08,BS Industrial Engineering,Property-Casualty Insurers,17
2017-10040,Bess Backen,2001-05-11,BS Chemical Engineering,n/a,83
2017-10041,Krishna Yarr,2009-03-30,BS Mathematics,Major Banks,137
2017-10042,Porty Yegorov,1999-04-10,BS Chemical Engineering,Railroads,67
2017-10043,Gerty Adger,2002-04-11,BA Communication Arts,Business Services,2
2017-10044,Katine Vaneev,1995-03-03,BS Applied Physics,Major Pharmaceuticals,11
2017-10045,Ursala Physick,2006-10-31,BS Mathematics,Television Services,152
2017-10046,Winni Kneller,2007-09-09,BA Communication Arts,Industrial Machinery/Components,74
2017-10047,Hugo Kaesmakers,1999-06-23,BS Mathematics,Major Chemicals,54
2017-10048,Bartolemo Burness,2002-05-12,BS Mathematics,n/a,28
2017-10049,Marietta Faustian,2002-05-23,BA Communication Arts,Major Pharmaceuticals,101
2017-10050,Nolan Tigner,2005-01-17,BS Chemistry,Steel/Iron Ore,146
2017-10051,Bridget Kenneford,2006-02-20,BS Industrial Engineering,Telecommunications Equipment,141
2017-10052,Mario Ghiron,1998-03-20,BS Statistics,n/a,55
2017-10053,Alford Tilliards,1996-12-01,BS Computer Engineering,Radio And Television Broadcasting And Communications Equipment,49
2017-10054,Willem Wrightim,2009-01-19,BS Mathematics,Precious Metals,19
2017-10055,Noach Heams,2001-03-23,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),131
2017-10056,Alisa Muirden,2008-10-31,BS Industrial Engineering,Computer Software: Prepackaged Software,76
2017-10057,Abby O'Shiels,1996-07-31,BS Statistics,Oil & Gas Production,97
2017-10058,Stephenie Fulkes,2006-07-04,BA Communication Arts,Publishing,78
2017-10059,Vikki Kealy,1997-07-31,BA Communication Arts,Real Estate Investment Trusts,112
2017-10060,Abraham Caulton,2000-11-08,BS Computer Engineering,Department/Specialty Retail Stores,101
2017-10061,Bell Renachowski,2004-01-02,BS Applied Physics,Business Services,47
2017-10062,Dylan Ealles,2005-02-08,BS Chemistry,Specialty Chemicals,103
2017-10063,Sophey Thody,2005-09-29,BS Chemical Engineering,Oil & Gas Production,113
2017-10064,Susannah Smail,2008-11-17,BS Chemical Engineering,Homebuilding,116
2017-10065,Maighdiln Dobrowski,2007-07-18,BS Computer Science,Computer Software: Prepackaged Software,14
2017-10066,Miran Ruggieri,2001-07-25,BS Computer Science,Commercial Banks,54
2017-10067,Patrizius Arnecke,2004-10-26,BS Applied Physics,Oil Refining/Marketing,132
2017-10068,Meriel MacIver,2007-04-27,BS Mathematics,Major Pharmaceuticals,12
2017-10069,Tandie Gostick,1993-12-22,BS Chemistry,Medical/Dental Instruments,86
2017-10070,Noel Melloi,1996-02-03,BS Computer Science,Clothing/Shoe/Accessory Stores,152
2017-10071,Fraze Goatman,2009-09-20,BA Communication Arts,Professional Services,151
2017-10072,Larine Dunnan,2000-01-12,BS Computer Engineering,Hotels/Resorts,127
2017-10073,Donnamarie Forsdicke,2007-06-23,BS Computer Science,Trucking Freight/Courier Services,107
2017-10074,Dorothea Walas,2006-06-11,BA Communication Arts,n/a,20
2017-10075,Ruthe Careswell,2001-01-01,BS Chemistry,Biotechnology: Biological Products (No Diagnostic Substances),160
2017-10076,Nealy Baynom,1993-10-27,BA Sociology,Major Pharmaceuticals,117
2017-10077,Kirstyn Gorgler,2001-04-10,BS Chemical Engineering,Commercial Banks,128
2017-10078,Eydie Baylay,2001-02-10,BS Statistics,Major Chemicals,67
2017-10079,Goober Tamburi,2006-04-09,BA Sociology,Rental/Leasing Companies,52
2017-10080,Brooke Maundrell,2007-12-04,BS Computer Engineering,n/a,107
2017-10081,Waldemar Allott,2008-10-04,BS Mathematics,n/a,81
2017-10082,Aleta Crosi,2010-02-25,BS Statistics,Oil Refining/Marketing,99
2017-10083,Melany Kaubisch,2006-08-15,BA Communication Arts,Industrial Specialties,92
2017-10084,Federico Goodlad,2007-01-13,BS Chemical Engineering,Computer Software: Prepackaged Software,46
2017-10085,Kendricks Ainge,2010-05-11,BS Chemical Engineering,Real Estate,45
2017-10086,Zebadiah Thorsby,1992-07-26,BA Communication Arts,EDP Services,27
2017-10087,Sutherland Verecker,2000-05-14,BS Computer Engineering,n/a,99
2017-10088,Thom Tamblyn,1992-05-04,BS Mathematics,Major Chemicals,86
2017-10089,Page Mercik,2009-12-31,BS Industrial Engineering,Oil & Gas Production,139
2017-10090,Morris Ridesdale,2003-06-15,BA Sociology,Natural Gas Distribution,27
2017-10091,Roana Hayball,2003-05-25,BS Chemistry,Major Banks,87
2017-10092,Amie Burnhard,2003-12-06,BS Applied Physics,Savings Institutions,73
2017-10093,Rachelle Allsworth,1994-09-20,BS Mathematics,Metal Fabrications,36
2017-10094,Norrie Routh,1996-09-08,BS Computer Engineering,Marine Transportation,54
2017-10095,Ashlin Rumsey,1995-06-01,BS Applied Physics,Engineering & Construction,43
2017-10096,Othilie Vinson,1997-02-18,BS Mathematics,Electric Utilities: Central,152
2017-10097,Ford Jouannin,1993-05-19,BS Mathematics,Major Banks,29
2017-10098,Dolf Noyce,2000-07-01,BA Communication Arts,n/a,117
2017-10099,Morris Mearns,2008-02-18,BS Computer Science,Catalog/Specialty Distribution,35
2017-10100,Roanna Ploughwright,2006-03-03,BA Communication Arts,n/a,116
2017-10101,Leigh Charlwood,1997-01-19,BS Computer Science,Other Transportation,151
2017-10102,Yetta Berney,2000-07-14,BS Applied Physics,"Computer Software: Programming, Data Processing",143
2017-10103,Waylen Besant,2003-03-24,BA Sociology,Major Pharmaceuticals,136
2017-10104,Laurie Hirche,1997-06-04,BA Sociology,n/a,130
2017-10105,Cammi Cicculi,1993-01-13,BS Statistics,n/a,149
2017-10106,Benson Skelhorne,2002-03-07,BS Mathematics,n/a,139
2017-10107,Corrina Bullivent,2007-04-10,BA Communication Arts,Military/Government/Technical,111
2017-10108,Mallory Jorry,2009-02-25,BS Industrial Engineering,n/a,37
2017-10109,Audrey Durrans,2000-07-02,BA Communication Arts,Semiconductors,73
2017-10110,Evaleen Hansill,1992-02-28,BA Sociology,Transportation Services,75
2017-10111,Odelle Connew,1998-12-20,BS Chemical Engineering,Accident &Health Insurance,126
2017-10112,Randolf Izkovicz,1998-05-21,BS Computer Science,Metal Fabrications,122
2017-10113,Giuseppe Butters,2006-06-11,BS Industrial Engineering,Natural Gas Distribution,102
2017-10114,Donovan Witts,2004-10-18,BS Industrial Engineering,n/a,76
2017-10115,Gert Everett,2007-04-29,BS Applied Physics,Consumer Specialties,59
2017-10116,Leonhard Shelley,2009-06-27,BS Mathematics,Telecommunications Equipment,92
2017-10117,Skippy Celand,2003-08-09,BS Statistics,Steel/Iron Ore,121
2017-10118,Lynnette Soldner,1992-10-03,BS Mathematics,Major Pharmaceuticals,42
2017-10119,Olav Redparth,2001-03-22,BS Chemistry,Telecommunications Equipment,129
2017-10120,Brendon O'Scandall,2005-08-26,BS Computer Engineering,Electric Utilities: Central,36
2017-10121,Urbain Raysdale,2007-12-08,BA Sociology,n/a,45
2017-10122,Hart Babington,1994-10-12,BA Communication Arts,Air Freight/Delivery Services,56
2017-10123,Suzann Woods,2010-01-25,BS Computer Engineering,Business Services,156
2017-10124,Isidora Wray,2000-01-10,BS Statistics,Major Pharmaceuticals,149
2017-10125,Joline Paunsford,2000-12-27,BS Computer Science,n/a,140
2017-10126,Katrina Ambler,2009-08-04,BS Chemical Engineering,Major Banks,108
2017-10127,Sunny Stuer,1994-10-30,BS Chemistry,Major Banks,23
2017-10128,Janka Matterface,2003-02-10,BS Mathematics,Major Pharmaceuticals,108
2017-10129,Beret Nickoll,1993-04-30,BA Communication Arts,Telecommunications Equipment,32
2017-10130,Son Littrell,2002-06-27,BS Applied Physics,Real Estate Investment Trusts,92
2017-10131,Patton Quinlan,1996-11-08,BS Computer Engineering,Computer Software: Prepackaged Software,56
2017-10132,Gardie Steade,2005-12-01,BS Chemistry,n/a,91
2017-10133,Bree Tibalt,1992-12-30,BS Mathematics,n/a,2
2017-10134,Cassandry Janaszewski,2000-09-15,BS Applied Physics,Farming/Seeds/Milling,62
2017-10135,Sutton de Voiels,2006-10-02,BA Sociology,Property-Casualty Insurers,82
2017-10136,Eolanda Dukelow,2006-06-22,BS Computer Science,Movies/Entertainment,119
2017-10137,Jaimie Pauleau,2001-12-15,BS Industrial Engineering,Property-Casualty Insurers,81
2017-10138,Zebadiah Byram,1998-04-15,BS Chemical Engineering,Property-Casualty Insurers,103
2017-10139,Jaynell Tschirschky,2009-05-20,BS Mathematics,Business Services,112
2017-10140,Kipper Dhillon,2010-08-10,BS Chemistry,n/a,35
2017-10141,Etheline Gregory,2009-05-09,BA Sociology,Hotels/Resorts,52
2017-10142,Elvin Radbourne,1992-11-21,BS Applied Physics,EDP Services,80
2017-10143,Gabbie Wherton,1999-06-01,BS Computer Science,EDP Services,84
2017-10144,Marla Juett,1999-06-04,BS Chemistry,Railroads,93
2017-10145,Gina Filipson,1999-07-22,BS Statistics,Major Pharmaceuticals,132
2017-10146,Pia Apedaile,2003-07-30,BS Mathematics,Business Services,144
2017-10147,Gaston Rucklesse,1999-08-07,BS Applied Physics,n/a,47
2017-10148,Lil Elloy,2000-09-24,BS Chemical Engineering,n/a,66
2017-10149,Jewell Battrum,2002-09-23,BS Computer Science,Major Pharmaceuticals,132
2017-10150,Harmony Topliss,2004-08-31,BS Chemistry,Commercial Banks,11
2017-10151,Phylys Decaze,1994-07-31,BA Communication Arts,n/a,22
2017-10152,Kasper McMennum,1998-07-29,BS Chemistry,Mining & Quarrying of Nonmetallic Minerals (No Fuels),49
2017-10153,Luella Cashmore,2010-01-17,BS Mathematics,Business Services,145
2017-10154,Iolanthe Hazeldene,2006-06-21,BS Computer Engineering,Semiconductors,9
2017-10155,Winnie Shillingford,1997-07-06,BS Mathematics,Major Banks,35
2017-10156,August Burrill,1996-12-25,BA Sociology,Major Pharmaceuticals,148
2017-10157,Tabitha Stilldale,2002-10-04,BS Applied Physics,RETAIL: Building Materials,135
2017-10158,Sapphira Kinde,1993-06-20,BS Chemical Engineering,Real Estate Investment Trusts,52
2017-10159,Britta Brodhead,2010-06-05,BS Applied Physics,n/a,119
2017-10160,Ruthanne Deave,1998-10-15,BS Chemical Engineering,Investment Bankers/Brokers/Service,15
2017-10161,Esmeralda Dehm,2007-10-04,BS Computer Science,n/a,39
2017-10162,Hillier Gohier,1997-12-12,BS Mathematics,Marine Transportation,58
2017-10163,Julio Giroldo,2002-11-26,BS Mathematics,Major Pharmaceuticals,61
2017-10164,Ronica Goudge,2006-04-15,BS Chemistry,Industrial Machinery/Components,85
2017-10165,Tilda Dict,1999-07-03,BS Applied Physics,Major Banks,99
2017-10166,Meryl Greenslade,2007-03-31,BS Chemistry,Building Materials,24
2017-10167,Beverie Holliar,2010-03-22,BS Mathematics,n/a,40
2017-10168,Glenine Fawssett,1995-12-12,BS Computer Engineering,Advertising,84
2017-10169,Cate Penhearow,2001-04-03,BS Mathematics,Building Materials,33
2017-10170,Vernice Joiner,2000-02-18,BS Statistics,n/a,54
2017-10171,Milli Lackinton,1998-12-01,BS Mathematics,Biotechnology: Laboratory Analytical Instruments,42
2017-10172,Luis Blanko,2009-02-17,BS Mathematics,Biotechnology: Laboratory Analytical Instruments,11
2017-10173,Fiorenze Archbold,2003-05-29,BS Computer Science,Broadcasting,73
2017-10174,Didi Stratz,2007-08-28,BA Sociology,Diversified Commercial Services,40
2017-10175,De Tenman,2006-02-25,BS Mathematics,Computer Software: Prepackaged Software,89
2017-10176,Mortimer Kane,2010-01-29,BS Computer Engineering,n/a,61
2017-10177,Ola Gallihawk,1993-01-29,BS Applied Physics,Major Pharmaceuticals,147
2017-10178,Oona Petersen,2001-05-21,BS Industrial Engineering,n/a,11
2017-10179,Tedmund Hitschke,2001-02-05,BS Statistics,n/a,130
2017-10180,Elsie Deschelle,2002-06-02,BS Computer Science,Television Services,42
2017-10181,Devora Padly,1995-03-31,BS Chemistry,Automotive Aftermarket,140
2017-10182,Frasier Domonkos,1995-01-08,BS Chemistry,Telecommunications Equipment,81
2017-10183,Drusie Keele,2000-10-22,BA Communication Arts,Business Services,135
2017-10184,Noble Fermoy,1993-11-04,BS Applied Physics,Fluid Controls,40
2017-10185,Gorden Brehault,2005-07-28,BS Chemical Engineering,Farming/Seeds/Milling,130
2017-10186,Mirella Lokier,2007-03-10,BA Sociology,Business Services,120
2017-10187,Edie Marieton,1998-01-12,BA Sociology,n/a,28
2017-10188,Harriot Prestner,2009-07-13,BS Applied Physics,n/a,139
2017-10189,Chauncey Yewman,2004-01-01,BA Communication Arts,Major Chemicals,100
2017-10190,Raimund Mohan,1995-01-07,BS Computer Engineering,Ordnance And Accessories,153
2017-10191,Min Peckitt,2001-12-03,BS Mathematics,Diversified Commercial Services,82
2017-10192,Vernen Fairbank,1995-03-11,BS Industrial Engineering,n/a,36
2017-10193,Amalita Golborn,1998-01-04,BS Mathematics,n/a,43
2017-10194,Viviene Rosenstein,2008-01-04,BS Mathematics,Semiconductors,88
2017-10195,Jacenta Legion,1998-01-19,BS Computer Engineering,Oil & Gas Production,119
2017-10196,Daveen Hurren,2003-07-09,BS Industrial Engineering,n/a,150
2017-10197,Susana Hanhardt,1996-03-26,BS Chemical Engineering,n/a,120
2017-10198,Manny Caston,2008-09-11,BA Sociology,n/a,45
2017-10199,Merrie Rigden,1992-05-13,BS Computer Engineering,Plastic Products,36
2017-10200,Griff Tarpey,1995-01-10,BS Computer Engineering,n/a,155
2017-10201,Harold Campbell,1992-03-31,BS Chemistry,Oil & Gas Production,11
2017-10202,Jesus Upward,2010-04-12,BA Sociology,Hospital/Nursing Management,3
2017-10203,Izabel Doolan,2007-01-15,BA Sociology,Real Estate Investment Trusts,149
2017-10204,Westbrooke Sail,2003-06-26,BS Chemistry,Other Consumer Services,70
2017-10205,Aubrie Brammer,1993-09-10,BS Chemical Engineering,Computer Communications Equipment,51
2017-10206,Kenyon Shemwell,2002-06-14,BS Mathematics,"Computer Software: Programming, Data Processing",97
2017-10207,Ethyl Crangle,1995-09-06,BS Applied Physics,Hotels/Resorts,14
2017-10208,Starlene Evensden,1992-03-09,BS Statistics,Major Banks,87
2017-10209,Doll Fenemore,1999-08-06,BS Mathematics,Real Estate Investment Trusts,84
2017-10210,Humphrey Bransgrove,2003-06-04,BS Mathematics,Hospital/Nursing Management,10
2017-10211,Hewie Elsegood,2005-10-17,BS Mathematics,Industrial Machinery/Components,152
2017-10212,Dinny Allibon,1998-10-30,BS Computer Science,Beverages (Production/Distribution),90
2017-10213,Zaccaria O'Dempsey,1997-06-21,BA Sociology,Major Banks,138
2017-10214,Cynthia Longhorne,2009-12-23,BS Chemical Engineering,Major Pharmaceuticals,8
2017-10215,Ezechiel Sherman,2000-02-22,BS Mathematics,Industrial Machinery/Components,118
2017-10216,Faydra Launder,2005-06-01,BS Statistics,Computer Software: Prepackaged Software,136
2017-10217,Darrel Nardoni,1992-12-16,BA Communication Arts,Railroads,121
2017-10218,Flori Morais,1994-05-22,BS Chemistry,Ordnance And Accessories,105
2017-10219,Babbette Downing,1995-01-19,BS Chemistry,Major Chemicals,16
2017-10220,Welch Antonellini,2006-10-03,BA Communication Arts,Property-Casualty Insurers,80
2017-10221,Alec Sterrie,2009-11-21,BA Communication Arts,n/a,55
2017-10222,Theresita Pennycock,1992-01-13,BS Mathematics,Marine Transportation,133
2017-10223,Tammy Filippazzo,2003-01-30,BS Applied Physics,Semiconductors,117
2017-10224,Valry Gitting,2008-06-17,BS Computer Engineering,Package Goods/Cosmetics,61
2017-10225,Joaquin Baxendale,2006-09-01,BS Industrial Engineering,n/a,160
2017-10226,Wang Lyddiard,2009-03-18,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),71
2017-10227,Rorke Althorpe,1997-02-08,BS Statistics,Oil Refining/Marketing,102
2017-10228,Nickolas Philpin,2001-09-06,BS Statistics,Automotive Aftermarket,129
2017-10229,Nancey Pethybridge,2001-08-05,BS Mathematics,Computer Software: Prepackaged Software,102
2017-10230,Gregg Sames,2008-04-03,BS Chemical Engineering,Real Estate Investment Trusts,21
2017-10231,Danella Howler,2006-04-09,BA Sociology,n/a,31
2017-10232,Kingsley Lillo,2001-06-08,BS Computer Science,Real Estate Investment Trusts,157
2017-10233,Merry Lutz,1996-10-24,BS Computer Science,Radio And Television Broadcasting And Communications Equipment,118
2017-10234,Barbie Ventom,1993-03-28,BS Mathematics,Marine Transportation,155
2017-10235,Zechariah Briggdale,2008-02-20,BS Computer Science,Restaurants,135
2017-10236,Hestia Lawden,1999-02-20,BS Chemistry,EDP Services,111
2017-10237,Abra Phillpot,2003-03-08,BS Computer Science,Paper,134
2017-10238,Eyde Chappell,2010-03-12,BS Mathematics,Industrial Machinery/Components,17
2017-10239,Averil Drane,2002-12-05,BA Communication Arts,Real Estate Investment Trusts,157
2017-10240,Ivar Mateos,2004-11-20,BS Chemistry,Restaurants,80
2017-10241,Raviv Pietranek,1996-03-12,BS Computer Science,Other Consumer Services,119
2017-10242,Peyter Esposi,2004-03-28,BA Sociology,Real Estate Investment Trusts,83
2017-10243,Keslie Harcourt,1998-04-29,BS Computer Science,Electronic Components,35
2017-10244,Fayth Darlasson,2008-06-10,BS Computer Engineering,n/a,152
2017-10245,Lars Pinshon,1997-02-09,BS Statistics,EDP Services,92
2017-10246,Delmore Cribbins,2003-09-23,BS Mathematics,Pollution Control Equipment,53
2017-10247,Elyse Rodenburg,1995-07-14,BS Computer Science,Computer peripheral equipment,82
2017-10248,Eadie Bernadot,2001-02-28,BS Applied Physics,Major Pharmaceuticals,76
2017-10249,Oren Breeze,1997-10-31,BA Communication Arts,Marine Transportation,94
2017-10250,Peggie McCorley,1999-08-13,BS Computer Science,Electric Utilities: Central,74
2017-10251,Gale Foss,2000-08-25,BS Industrial Engineering,Major Banks,125
2017-10252,Liz Staddon,2009-02-02,BS Industrial Engineering,EDP Services,55
2017-10253,Rhys Lawless,2005-04-11,BS Statistics,Industrial Machinery/Components,90
2017-10254,Jermaine Frow,1994-02-21,BS Industrial Engineering,Telecommunications Equipment,24
2017-10255,Pen Wands,1996-12-27,BS Mathematics,Specialty Chemicals,136
2017-10256,Hilliary Camm,1995-08-24,BS Computer Engineering,Finance: Consumer Services,102
2017-10257,Rustin Blaik,2001-01-19,BS Chemistry,Major Banks,68
2017-10258,Truda Burden,2001-06-01,BS Applied Physics,Plastic Products,147
2017-10259,Kingsly Gheorghescu,2000-07-26,BS Chemistry,Specialty Chemicals,35
2017-10260,Fredericka Clows,1998-01-09,BS Computer Science,Office Equipment/Supplies/Services,50
2017-10261,Halsy McGilmartin,1992-06-09,BA Sociology,n/a,15
2017-10262,Alfie Whitlow,1995-04-19,BS Chemical Engineering,Auto Manufacturing,141
2017-10263,Clemmie Billsberry,1993-10-17,BS Computer Engineering,Electric Utilities: Central,65
2017-10264,Crista Drysdell,2001-09-03,BS Chemical Engineering,Biotechnology: In Vitro & In Vivo Diagnostic Substances,131
2017-10265,Che McEnhill,1999-12-25,BS Industrial Engineering,n/a,85
2017-10266,Rene Rubens,2006-02-22,BS Statistics,EDP Services,146
2017-10267,Vikky Scotchmoor,1996-07-28,BS Computer Science,Finance/Investors Services,141
2017-10268,Elana Reiner,2004-12-31,BS Statistics,Biotechnology: In Vitro & In Vivo Diagnostic Substances,8
2017-10269,Stephana Featley,1998-12-04,BS Computer Engineering,Specialty Chemicals,19
2017-10270,Steve Hadrill,1998-03-24,BS Chemistry,Major Chemicals,108
2017-10271,Gib Aldhouse,2002-04-13,BS Mathematics,Electric Utilities: Central,106
2017-10272,Lavinia Durnall,2006-03-20,BS Statistics,Automotive Aftermarket,90
2017-10273,Flss Belchem,2004-01-24,BS Chemical Engineering,n/a,142
2017-10274,Janot Zanetello,1998-07-04,BS Chemistry,"Computer Software: Programming, Data Processing",66
2017-10275,Jermaine Maharg,2005-11-30,BS Statistics,Major Banks,130
2017-10276,Zebulen Bulle,2005-10-21,BS Applied Physics,Major Pharmaceuticals,118
2017-10277,Kitty Dollman,2009-05-18,BS Mathematics,Real Estate Investment Trusts,13
2017-10278,Irma Thor,1995-07-21,BS Statistics,Biotechnology: Biological Products (No Diagnostic Substances),47
2017-10279,Nona Veal,1995-12-31,BS Chemical Engineering,Homebuilding,159
2017-10280,Noak Bendig,1992-08-06,BS Computer Science,Diversified Commercial Services,51
2017-10281,Leonerd Willerson,2001-01-02,BS Chemical Engineering,Computer Software: Prepackaged Software,129
2017-10282,Merrill Kleinert,2008-02-17,BS Chemistry,Real Estate Investment Trusts,111
2017-10283,Bunny Rouby,2000-02-25,BS Chemical Engineering,n/a,23
2017-10284,Lucia Balmann,2010-02-12,BS Computer Science,n/a,101
2017-10285,Goldia Manginot,2010-09-08,BS Industrial Engineering,n/a,50
2017-10286,Murielle Heyward,2007-04-28,BS Mathematics,n/a,152
2017-10287,Florence Cargon,1995-08-19,BS Computer Engineering,n/a,58
2017-10288,Dee dee Jaime,1995-07-25,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),23
2017-10289,Lonni Elington,1995-01-31,BA Sociology,Business Services,124
2017-10290,Cleavland Jacobsohn,1993-06-09,BA Sociology,Life Insurance,18
2017-10291,Rosalinda Heaker,1996-08-14,BS Computer Science,Medical/Dental Instruments,13
2017-10292,Perry Signorelli,1997-09-05,BA Sociology,n/a,156
2017-10293,Shaine Stelfax,1992-02-17,BS Computer Science,Hotels/Resorts,23
2017-10294,Tadd Duberry,1993-11-05,BA Sociology,Trucking Freight/Courier Services,87
2017-10295,Bevan Samson,1995-09-28,BS Computer Engineering,Biotechnology: Electromedical & Electrotherapeutic Apparatus,84
2017-10296,Mannie Warlowe,1994-12-21,BS Chemistry,Precious Metals,90
2017-10297,Mata Gabbat,1996-08-08,BS Mathematics,Commercial Banks,115
2017-10298,Kipp De Filippis,2006-01-19,BS Computer Science,Major Banks,27
2017-10299,Antonia O'Glassane,2000-09-15,BS Mathematics,n/a,20
2017-10300,Michelina Guiden,2005-08-21,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),63
2017-10301,Enrico Sargint,2001-02-16,BS Mathematics,n/a,112
2017-10302,Brooks Dinse,1998-09-22,BS Chemistry,n/a,145
2017-10303,Merrick Mintoff,1997-11-22,BA Communication Arts,n/a,159
2017-10304,Fidela Mallinson,1998-01-22,BS Chemical Engineering,Other Specialty Stores,73
2017-10305,Karly Keele,1994-12-05,BA Sociology,Property-Casualty Insurers,132
2017-10306,Calhoun Loughead,1997-11-26,BA Sociology,Biotechnology: Biological Products (No Diagnostic Substances),76
2017-10307,Bordie Lardeur,2006-01-09,BS Chemical Engineering,n/a,39
2017-10308,Lian Christoffels,2010-07-23,BA Communication Arts,Major Chemicals,148
2017-10309,Lil Turner,2007-10-31,BS Industrial Engineering,Apparel,74
2017-10310,Etheline Benmore,1992-12-20,BS Mathematics,Steel/Iron Ore,146
2017-10311,Cele Aberkirdo,1994-06-20,BA Sociology,Coal Mining,142
2017-10312,Talya Scarman,2008-07-25,BS Mathematics,Real Estate,19
2017-10313,Kingsley Frichley,1992-05-02,BS Applied Physics,Industrial Specialties,154
2017-10314,Charley Bartolomeoni,2005-04-22,BA Sociology,Metal Fabrications,9
2017-10315,Noak Harbottle,2008-04-24,BS Industrial Engineering,n/a,153
2017-10316,Clari Langston,2001-06-25,BS Mathematics,n/a,120
2017-10317,Perceval Lauritsen,2005-12-20,BS Mathematics,Broadcasting,154
2017-10318,Gabey Uebel,2007-10-13,BA Sociology,n/a,57
2017-10319,Inez Beautyman,2009-09-19,BS Industrial Engineering,Business Services,34
2017-10320,Brose Stallwood,1996-06-09,BA Communication Arts,n/a,71
2017-10321,Cornelius Paish,1997-06-10,BS Industrial Engineering,n/a,55
2017-10322,Caroljean Fairhurst,1995-04-16,BS Chemical Engineering,Finance: Consumer Services,33
2017-10323,Perceval Bernardez,2006-07-04,BS Mathematics,n/a,42
2017-10324,Kalina Mussilli,2009-10-20,BS Mathematics,n/a,114
2017-10325,Bev Pringer,1998-06-21,BS Mathematics,Real Estate Investment Trusts,65
2017-10326,Willi Rawling,2001-10-31,BS Industrial Engineering,Water Supply,154
2017-10327,Jacky Belliveau,2001-04-12,BS Industrial Engineering,n/a,56
2017-10328,Dorise Cameron,2004-09-10,BS Industrial Engineering,Marine Transportation,150
2017-10329,Nehemiah Brolan,2009-12-24,BS Statistics,Medical Specialities,114
2017-10330,Bill Pattisson,2006-01-19,BS Statistics,n/a,106
